Area|Ethnic group|Age group|Sex|Year|Value|Flags
"Total - New Zealand by District Health Board"|"Four to six groups"|"50-54 years"|"Male"|"2018"|48|
"Total - New Zealand by District Health Board"|"Four to six groups"|"50-54 years"|"Female"|"2018"|36|
"Total - New Zealand by Regional Council/SA2"|"European only"|"60-64 years"|"Male"|"2018"|94617|
"Total - New Zealand by Regional Council/SA2"|"European only"|"60-64 years"|"Female"|"2018"|97602|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"60-64 years"|"Male"|"2018"|8820|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"60-64 years"|"Female"|"2018"|9228|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"60-64 years"|"Male"|"2018"|4551|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"60-64 years"|"Female"|"2018"|4503|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"60-64 years"|"Male"|"2018"|11382|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"60-64 years"|"Female"|"2018"|14262|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"60-64 years"|"Male"|"2018"|804|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"60-64 years"|"Female"|"2018"|672|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"60-64 years"|"Male"|"2018"|1746|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"60-64 years"|"Female"|"2018"|1227|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"60-64 years"|"Male"|"2018"|3909|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"60-64 years"|"Female"|"2018"|4866|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"60-64 years"|"Male"|"2018"|120|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"60-64 years"|"Female"|"2018"|144|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"60-64 years"|"Male"|"2018"|417|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"60-64 years"|"Female"|"2018"|495|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"60-64 years"|"Male"|"2018"|117|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"60-64 years"|"Female"|"2018"|150|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"60-64 years"|"Male"|"2018"|381|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"60-64 years"|"Female"|"2018"|423|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"60-64 years"|"Male"|"2018"|105|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"60-64 years"|"Female"|"2018"|117|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"60-64 years"|"Male"|"2018"|87|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"60-64 years"|"Female"|"2018"|105|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"60-64 years"|"Male"|"2018"|33|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"60-64 years"|"Female"|"2018"|18|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"60-64 years"|"Male"|"2018"|94617|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"60-64 years"|"Female"|"2018"|97602|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"60-64 years"|"Male"|"2018"|8820|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"60-64 years"|"Female"|"2018"|9228|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"60-64 years"|"Male"|"2018"|4551|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"60-64 years"|"Female"|"2018"|4503|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"60-64 years"|"Male"|"2018"|11382|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"60-64 years"|"Female"|"2018"|14262|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"60-64 years"|"Male"|"2018"|804|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"60-64 years"|"Female"|"2018"|672|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"60-64 years"|"Male"|"2018"|1746|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"60-64 years"|"Female"|"2018"|1227|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"60-64 years"|"Male"|"2018"|3909|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"60-64 years"|"Female"|"2018"|4866|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"60-64 years"|"Male"|"2018"|120|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"60-64 years"|"Female"|"2018"|144|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"60-64 years"|"Male"|"2018"|417|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"60-64 years"|"Female"|"2018"|495|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"60-64 years"|"Male"|"2018"|117|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"60-64 years"|"Female"|"2018"|150|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"60-64 years"|"Male"|"2018"|381|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"60-64 years"|"Female"|"2018"|423|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"60-64 years"|"Male"|"2018"|105|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"60-64 years"|"Female"|"2018"|117|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"60-64 years"|"Male"|"2018"|87|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"60-64 years"|"Female"|"2018"|105|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"60-64 years"|"Male"|"2018"|33|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"60-64 years"|"Female"|"2018"|18|
"Total - New Zealand by District Health Board"|"European only"|"60-64 years"|"Male"|"2018"|94617|
"Total - New Zealand by District Health Board"|"European only"|"60-64 years"|"Female"|"2018"|97602|
"Total - New Zealand by District Health Board"|"Maori only"|"60-64 years"|"Male"|"2018"|8820|
"Total - New Zealand by District Health Board"|"Maori only"|"60-64 years"|"Female"|"2018"|9228|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"60-64 years"|"Male"|"2018"|4551|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"60-64 years"|"Female"|"2018"|4503|
"Total - New Zealand by District Health Board"|"Asian only"|"60-64 years"|"Male"|"2018"|11382|
"Total - New Zealand by District Health Board"|"Asian only"|"60-64 years"|"Female"|"2018"|14262|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"60-64 years"|"Male"|"2018"|804|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"60-64 years"|"Female"|"2018"|672|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"60-64 years"|"Male"|"2018"|1746|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"60-64 years"|"Female"|"2018"|1227|
"Total - New Zealand by District Health Board"|"Maori/European"|"60-64 years"|"Male"|"2018"|3909|
"Total - New Zealand by District Health Board"|"Maori/European"|"60-64 years"|"Female"|"2018"|4866|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"60-64 years"|"Male"|"2018"|120|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"60-64 years"|"Female"|"2018"|144|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"60-64 years"|"Male"|"2018"|417|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"60-64 years"|"Female"|"2018"|495|
"Total - New Zealand by District Health Board"|"Asian/European"|"60-64 years"|"Male"|"2018"|117|
"Total - New Zealand by District Health Board"|"Asian/European"|"60-64 years"|"Female"|"2018"|150|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"60-64 years"|"Male"|"2018"|381|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"60-64 years"|"Female"|"2018"|423|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"60-64 years"|"Male"|"2018"|105|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"60-64 years"|"Female"|"2018"|117|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"60-64 years"|"Male"|"2018"|87|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"60-64 years"|"Female"|"2018"|105|
"Total - New Zealand by District Health Board"|"Four to six groups"|"60-64 years"|"Male"|"2018"|33|
"Total - New Zealand by District Health Board"|"Four to six groups"|"60-64 years"|"Female"|"2018"|18|
"Total - New Zealand by Regional Council/SA2"|"European only"|"75-79 years"|"Male"|"2018"|52677|
"Total - New Zealand by Regional Council/SA2"|"European only"|"75-79 years"|"Female"|"2018"|59607|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"75-79 years"|"Male"|"2018"|2574|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"75-79 years"|"Female"|"2018"|2949|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"75-79 years"|"Male"|"2018"|1407|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"75-79 years"|"Female"|"2018"|1737|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"75-79 years"|"Male"|"2018"|3420|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"75-79 years"|"Female"|"2018"|4002|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"75-79 years"|"Male"|"2018"|174|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"75-79 years"|"Female"|"2018"|177|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"75-79 years"|"Male"|"2018"|432|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"75-79 years"|"Female"|"2018"|393|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"75-79 years"|"Male"|"2018"|1104|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"75-79 years"|"Female"|"2018"|1413|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"75-79 years"|"Male"|"2018"|24|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"75-79 years"|"Female"|"2018"|24|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"75-79 years"|"Male"|"2018"|84|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"75-79 years"|"Female"|"2018"|135|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"75-79 years"|"Male"|"2018"|36|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"75-79 years"|"Female"|"2018"|57|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"75-79 years"|"Male"|"2018"|129|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"75-79 years"|"Female"|"2018"|144|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"75-79 years"|"Male"|"2018"|9|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"75-79 years"|"Female"|"2018"|12|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"75-79 years"|"Male"|"2018"|27|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"75-79 years"|"Female"|"2018"|27|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"75-79 years"|"Male"|"2018"|9|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"75-79 years"|"Female"|"2018"|6|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"75-79 years"|"Male"|"2018"|52677|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"75-79 years"|"Female"|"2018"|59607|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"75-79 years"|"Male"|"2018"|2574|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"75-79 years"|"Female"|"2018"|2949|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"75-79 years"|"Male"|"2018"|1407|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"75-79 years"|"Female"|"2018"|1737|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"75-79 years"|"Male"|"2018"|3420|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"75-79 years"|"Female"|"2018"|4002|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"75-79 years"|"Male"|"2018"|174|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"65-69 years"|"Male"|"2018"|1251|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"65-69 years"|"Female"|"2018"|909|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"65-69 years"|"Male"|"2018"|2790|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"65-69 years"|"Female"|"2018"|3576|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"65-69 years"|"Male"|"2018"|54|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"65-69 years"|"Female"|"2018"|75|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"65-69 years"|"Male"|"2018"|255|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"65-69 years"|"Female"|"2018"|306|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"65-69 years"|"Male"|"2018"|99|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"65-69 years"|"Female"|"2018"|114|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"65-69 years"|"Male"|"2018"|285|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"65-69 years"|"Female"|"2018"|312|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"65-69 years"|"Male"|"2018"|48|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"65-69 years"|"Female"|"2018"|69|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"65-69 years"|"Male"|"2018"|75|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"65-69 years"|"Female"|"2018"|87|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"65-69 years"|"Male"|"2018"|30|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"65-69 years"|"Female"|"2018"|18|
"Total - New Zealand by District Health Board"|"European only"|"65-69 years"|"Male"|"2018"|87930|
"Total - New Zealand by District Health Board"|"European only"|"65-69 years"|"Female"|"2018"|91065|
"Total - New Zealand by District Health Board"|"Maori only"|"65-69 years"|"Male"|"2018"|6657|
"Total - New Zealand by District Health Board"|"Maori only"|"65-69 years"|"Female"|"2018"|6825|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"65-69 years"|"Male"|"2018"|3474|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"65-69 years"|"Female"|"2018"|3579|
"Total - New Zealand by District Health Board"|"Asian only"|"65-69 years"|"Male"|"2018"|8607|
"Total - New Zealand by District Health Board"|"Asian only"|"65-69 years"|"Female"|"2018"|9582|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"65-69 years"|"Male"|"2018"|537|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"65-69 years"|"Female"|"2018"|423|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"65-69 years"|"Male"|"2018"|1251|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"65-69 years"|"Female"|"2018"|909|
"Total - New Zealand by District Health Board"|"Maori/European"|"65-69 years"|"Male"|"2018"|2790|
"Total - New Zealand by District Health Board"|"Maori/European"|"65-69 years"|"Female"|"2018"|3576|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"65-69 years"|"Male"|"2018"|54|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"65-69 years"|"Female"|"2018"|75|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"65-69 years"|"Male"|"2018"|255|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"65-69 years"|"Female"|"2018"|306|
"Total - New Zealand by District Health Board"|"Asian/European"|"65-69 years"|"Male"|"2018"|99|
"Total - New Zealand by District Health Board"|"Asian/European"|"65-69 years"|"Female"|"2018"|114|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"65-69 years"|"Male"|"2018"|285|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"65-69 years"|"Female"|"2018"|312|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"65-69 years"|"Male"|"2018"|48|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"65-69 years"|"Female"|"2018"|69|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"65-69 years"|"Male"|"2018"|75|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"65-69 years"|"Female"|"2018"|87|
"Total - New Zealand by District Health Board"|"Four to six groups"|"65-69 years"|"Male"|"2018"|30|
"Total - New Zealand by District Health Board"|"Four to six groups"|"65-69 years"|"Female"|"2018"|18|
"Total - New Zealand by Regional Council/SA2"|"European only"|"70-74 years"|"Male"|"2018"|74070|
"Total - New Zealand by Regional Council/SA2"|"European only"|"70-74 years"|"Female"|"2018"|78378|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"70-74 years"|"Male"|"2018"|4008|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"70-74 years"|"Female"|"2018"|4425|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"70-74 years"|"Male"|"2018"|2220|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"70-74 years"|"Female"|"2018"|2511|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"70-74 years"|"Male"|"2018"|5175|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"70-74 years"|"Female"|"2018"|5649|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"70-74 years"|"Male"|"2018"|327|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"70-74 years"|"Female"|"2018"|276|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"70-74 years"|"Male"|"2018"|843|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"70-74 years"|"Female"|"2018"|657|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"70-74 years"|"Male"|"2018"|1737|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"70-74 years"|"Female"|"2018"|2175|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"70-74 years"|"Male"|"2018"|27|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"70-74 years"|"Female"|"2018"|27|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"70-74 years"|"Male"|"2018"|159|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"70-74 years"|"Female"|"2018"|183|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"70-74 years"|"Male"|"2018"|78|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"70-74 years"|"Female"|"2018"|69|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"70-74 years"|"Male"|"2018"|204|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"70-74 years"|"Female"|"2018"|243|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"70-74 years"|"Male"|"2018"|36|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"70-74 years"|"Female"|"2018"|39|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"70-74 years"|"Male"|"2018"|36|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"70-74 years"|"Female"|"2018"|48|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"70-74 years"|"Male"|"2018"|18|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"70-74 years"|"Female"|"2018"|12|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"70-74 years"|"Male"|"2018"|74070|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"70-74 years"|"Female"|"2018"|78378|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"70-74 years"|"Male"|"2018"|4008|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"70-74 years"|"Female"|"2018"|4425|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"70-74 years"|"Male"|"2018"|2220|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"70-74 years"|"Female"|"2018"|2511|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"70-74 years"|"Male"|"2018"|5175|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"70-74 years"|"Female"|"2018"|5649|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"70-74 years"|"Male"|"2018"|327|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"70-74 years"|"Female"|"2018"|276|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"70-74 years"|"Male"|"2018"|843|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"70-74 years"|"Female"|"2018"|657|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"70-74 years"|"Male"|"2018"|1737|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"70-74 years"|"Female"|"2018"|2175|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"70-74 years"|"Male"|"2018"|27|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"70-74 years"|"Female"|"2018"|27|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"70-74 years"|"Male"|"2018"|159|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"70-74 years"|"Female"|"2018"|183|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"70-74 years"|"Male"|"2018"|78|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"70-74 years"|"Female"|"2018"|69|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"70-74 years"|"Male"|"2018"|204|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"70-74 years"|"Female"|"2018"|243|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"70-74 years"|"Male"|"2018"|36|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"70-74 years"|"Female"|"2018"|39|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"70-74 years"|"Male"|"2018"|36|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"70-74 years"|"Female"|"2018"|48|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"70-74 years"|"Male"|"2018"|18|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"70-74 years"|"Female"|"2018"|12|
"Total - New Zealand by District Health Board"|"European only"|"70-74 years"|"Male"|"2018"|74070|
"Total - New Zealand by District Health Board"|"European only"|"70-74 years"|"Female"|"2018"|78378|
"Total - New Zealand by District Health Board"|"Maori only"|"70-74 years"|"Male"|"2018"|4008|
"Total - New Zealand by District Health Board"|"Maori only"|"70-74 years"|"Female"|"2018"|4425|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"70-74 years"|"Male"|"2018"|2220|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"70-74 years"|"Female"|"2018"|2511|
"Total - New Zealand by District Health Board"|"Asian only"|"70-74 years"|"Male"|"2018"|5175|
"Total - New Zealand by District Health Board"|"Asian only"|"70-74 years"|"Female"|"2018"|5649|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"70-74 years"|"Male"|"2018"|327|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"70-74 years"|"Female"|"2018"|276|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"70-74 years"|"Male"|"2018"|843|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"70-74 years"|"Female"|"2018"|657|
"Total - New Zealand by District Health Board"|"Maori/European"|"70-74 years"|"Male"|"2018"|1737|
"Total - New Zealand by District Health Board"|"Maori/European"|"70-74 years"|"Female"|"2018"|2175|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"70-74 years"|"Male"|"2018"|27|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"70-74 years"|"Female"|"2018"|27|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"70-74 years"|"Male"|"2018"|159|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"70-74 years"|"Female"|"2018"|183|
"Total - New Zealand by District Health Board"|"Asian/European"|"70-74 years"|"Male"|"2018"|78|
"Total - New Zealand by District Health Board"|"Asian/European"|"70-74 years"|"Female"|"2018"|69|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"70-74 years"|"Male"|"2018"|204|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"70-74 years"|"Female"|"2018"|243|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"70-74 years"|"Male"|"2018"|36|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"70-74 years"|"Female"|"2018"|39|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"70-74 years"|"Male"|"2018"|36|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"70-74 years"|"Female"|"2018"|48|
"Total - New Zealand by District Health Board"|"Four to six groups"|"70-74 years"|"Male"|"2018"|18|
"Total - New Zealand by District Health Board"|"Four to six groups"|"70-74 years"|"Female"|"2018"|12|
"Total - New Zealand by Regional Council/SA2"|"European only"|"80-84 years"|"Male"|"2018"|32934|
"Total - New Zealand by Regional Council/SA2"|"European only"|"80-84 years"|"Female"|"2018"|40863|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"80-84 years"|"Male"|"2018"|1203|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"80-84 years"|"Female"|"2018"|1677|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"80-84 years"|"Male"|"2018"|666|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"80-84 years"|"Female"|"2018"|1038|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"80-84 years"|"Male"|"2018"|2241|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"80-84 years"|"Female"|"2018"|2382|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"80-84 years"|"Male"|"2018"|105|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"80-84 years"|"Female"|"2018"|132|
