Area|Religious affiliation|Age group|Sex|Year|Value|Flags
"Hurunui District"|"No religion"|"15-19 years"|"Female"|"2018"|207|
"Hurunui District"|"Object to answering"|"15-19 years"|"Male"|"2018"|21|
"Hurunui District"|"Object to answering"|"15-19 years"|"Female"|"2018"|18|
"Waimakariri District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|558|
"Waimakariri District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|531|
"Waimakariri District"|"No religion"|"15-19 years"|"Male"|"2018"|1314|
"Waimakariri District"|"No religion"|"15-19 years"|"Female"|"2018"|1185|
"Waimakariri District"|"Object to answering"|"15-19 years"|"Male"|"2018"|129|
"Waimakariri District"|"Object to answering"|"15-19 years"|"Female"|"2018"|123|
"Christchurch City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|4227|
"Christchurch City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|4104|
"Christchurch City"|"No religion"|"15-19 years"|"Male"|"2018"|7149|
"Christchurch City"|"No religion"|"15-19 years"|"Female"|"2018"|6447|
"Christchurch City"|"Object to answering"|"15-19 years"|"Male"|"2018"|723|
"Christchurch City"|"Object to answering"|"15-19 years"|"Female"|"2018"|588|
"Selwyn District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|624|
"Selwyn District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|651|
"Selwyn District"|"No religion"|"15-19 years"|"Male"|"2018"|1278|
"Selwyn District"|"No religion"|"15-19 years"|"Female"|"2018"|1176|
"Selwyn District"|"Object to answering"|"15-19 years"|"Male"|"2018"|126|
"Selwyn District"|"Object to answering"|"15-19 years"|"Female"|"2018"|114|
"Timaru District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|426|
"Timaru District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|429|
"Timaru District"|"No religion"|"15-19 years"|"Male"|"2018"|849|
"Timaru District"|"No religion"|"15-19 years"|"Female"|"2018"|729|
"Timaru District"|"Object to answering"|"15-19 years"|"Male"|"2018"|96|
"Timaru District"|"Object to answering"|"15-19 years"|"Female"|"2018"|81|
"Mackenzie District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|51|
"Mackenzie District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|57|
"Mackenzie District"|"No religion"|"15-19 years"|"Male"|"2018"|93|
"Mackenzie District"|"No religion"|"15-19 years"|"Female"|"2018"|63|
"Mackenzie District"|"Object to answering"|"15-19 years"|"Male"|"2018"|12|
"Mackenzie District"|"Object to answering"|"15-19 years"|"Female"|"2018"|3|
"Chatham Islands Territory"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|9|
"Chatham Islands Territory"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"||c
"Chatham Islands Territory"|"No religion"|"15-19 years"|"Male"|"2018"|9|
"Chatham Islands Territory"|"No religion"|"15-19 years"|"Female"|"2018"|6|
"Chatham Islands Territory"|"Object to answering"|"15-19 years"|"Male"|"2018"||c
"Chatham Islands Territory"|"Object to answering"|"15-19 years"|"Female"|"2018"||c
"Waitaki District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|204|
"Waitaki District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|198|
"Waitaki District"|"No religion"|"15-19 years"|"Male"|"2018"|390|
"Waitaki District"|"No religion"|"15-19 years"|"Female"|"2018"|357|
"Waitaki District"|"Object to answering"|"15-19 years"|"Male"|"2018"|30|
"Waitaki District"|"Object to answering"|"15-19 years"|"Female"|"2018"|30|
"Queenstown-Lakes District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|186|
"Queenstown-Lakes District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|216|
"Queenstown-Lakes District"|"No religion"|"15-19 years"|"Male"|"2018"|522|
"Queenstown-Lakes District"|"No religion"|"15-19 years"|"Female"|"2018"|480|
"Queenstown-Lakes District"|"Object to answering"|"15-19 years"|"Male"|"2018"|54|
"Queenstown-Lakes District"|"Object to answering"|"15-19 years"|"Female"|"2018"|30|
"Dunedin City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|1632|
"Dunedin City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|2136|
"Dunedin City"|"No religion"|"15-19 years"|"Male"|"2018"|3504|
"Dunedin City"|"No religion"|"15-19 years"|"Female"|"2018"|4185|
"Dunedin City"|"Object to answering"|"15-19 years"|"Male"|"2018"|300|
"Dunedin City"|"Object to answering"|"15-19 years"|"Female"|"2018"|309|
"Southland District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|276|
"Southland District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|270|
"Southland District"|"No religion"|"15-19 years"|"Male"|"2018"|618|
"Southland District"|"No religion"|"15-19 years"|"Female"|"2018"|483|
"Southland District"|"Object to answering"|"15-19 years"|"Male"|"2018"|66|
"Southland District"|"Object to answering"|"15-19 years"|"Female"|"2018"|48|
"Gore District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|123|
"Gore District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|123|
"Gore District"|"No religion"|"15-19 years"|"Male"|"2018"|228|
"Gore District"|"No religion"|"15-19 years"|"Female"|"2018"|183|
"Gore District"|"Object to answering"|"15-19 years"|"Male"|"2018"|24|
"Gore District"|"Object to answering"|"15-19 years"|"Female"|"2018"|24|
"Total - Territorial Authority areas"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|60159|
"Total - Territorial Authority areas"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|60321|
"Total - Territorial Authority areas"|"No religion"|"15-19 years"|"Male"|"2018"|84132|
"Total - Territorial Authority areas"|"No religion"|"15-19 years"|"Female"|"2018"|79032|
"Total - Territorial Authority areas"|"Object to answering"|"15-19 years"|"Male"|"2018"|9915|
"Total - Territorial Authority areas"|"Object to answering"|"15-19 years"|"Female"|"2018"|8262|
"Area Outside Territorial Authority"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"||c
"Area Outside Territorial Authority"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"||c
"Area Outside Territorial Authority"|"No religion"|"15-19 years"|"Male"|"2018"||c
"Area Outside Territorial Authority"|"No religion"|"15-19 years"|"Female"|"2018"||c
"Area Outside Territorial Authority"|"Object to answering"|"15-19 years"|"Male"|"2018"||c
"Area Outside Territorial Authority"|"Object to answering"|"15-19 years"|"Female"|"2018"||c
"Far North District"|"Total people - with at least one religious affiliation"|"20-24 years"|"Male"|"2018"|657|
"Far North District"|"Total people - with at least one religious affiliation"|"20-24 years"|"Female"|"2018"|618|
"Far North District"|"No religion"|"20-24 years"|"Male"|"2018"|765|
"Far North District"|"No religion"|"20-24 years"|"Female"|"2018"|765|
"Far North District"|"Object to answering"|"20-24 years"|"Male"|"2018"|102|
"Far North District"|"Object to answering"|"20-24 years"|"Female"|"2018"|90|
"Kaipara District"|"Total people - with at least one religious affiliation"|"20-24 years"|"Male"|"2018"|156|
"Kaipara District"|"Total people - with at least one religious affiliation"|"20-24 years"|"Female"|"2018"|153|
"Kaipara District"|"No religion"|"20-24 years"|"Male"|"2018"|336|
"Kaipara District"|"No religion"|"20-24 years"|"Female"|"2018"|270|
"Kaipara District"|"Object to answering"|"20-24 years"|"Male"|"2018"|30|
"Kaipara District"|"Object to answering"|"20-24 years"|"Female"|"2018"|21|
"Auckland"|"Total people - with at least one religious affiliation"|"20-24 years"|"Male"|"2018"|30162|
"Auckland"|"Total people - with at least one religious affiliation"|"20-24 years"|"Female"|"2018"|27828|
"Auckland"|"No religion"|"20-24 years"|"Male"|"2018"|28167|
"Auckland"|"No religion"|"20-24 years"|"Female"|"2018"|28041|
"Auckland"|"Object to answering"|"20-24 years"|"Male"|"2018"|3162|
"Auckland"|"Object to answering"|"20-24 years"|"Female"|"2018"|2637|
"Hibiscus and Bays Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Male"|"2018"|969|
"Hibiscus and Bays Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Female"|"2018"|849|
"Hibiscus and Bays Local Board Area"|"No religion"|"20-24 years"|"Male"|"2018"|1941|
"Hibiscus and Bays Local Board Area"|"No religion"|"20-24 years"|"Female"|"2018"|1815|
"Hibiscus and Bays Local Board Area"|"Object to answering"|"20-24 years"|"Male"|"2018"|186|
"Hibiscus and Bays Local Board Area"|"Object to answering"|"20-24 years"|"Female"|"2018"|135|
"Upper Harbour Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Male"|"2018"|837|
"Upper Harbour Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Female"|"2018"|822|
"Upper Harbour Local Board Area"|"No religion"|"20-24 years"|"Male"|"2018"|1626|
"Upper Harbour Local Board Area"|"No religion"|"20-24 years"|"Female"|"2018"|1572|
"Upper Harbour Local Board Area"|"Object to answering"|"20-24 years"|"Male"|"2018"|111|
"Upper Harbour Local Board Area"|"Object to answering"|"20-24 years"|"Female"|"2018"|108|
"Kaipatiki Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Male"|"2018"|1404|
"Kaipatiki Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Female"|"2018"|1269|
"Kaipatiki Local Board Area"|"No religion"|"20-24 years"|"Male"|"2018"|1908|
"Kaipatiki Local Board Area"|"No religion"|"20-24 years"|"Female"|"2018"|1977|
"Kaipatiki Local Board Area"|"Object to answering"|"20-24 years"|"Male"|"2018"|177|
"Kaipatiki Local Board Area"|"Object to answering"|"20-24 years"|"Female"|"2018"|156|
"Devonport-Takapuna Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Male"|"2018"|660|
"Devonport-Takapuna Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Female"|"2018"|714|
"Devonport-Takapuna Local Board Area"|"No religion"|"20-24 years"|"Male"|"2018"|1203|
"Devonport-Takapuna Local Board Area"|"No religion"|"20-24 years"|"Female"|"2018"|1098|
"Devonport-Takapuna Local Board Area"|"Object to answering"|"20-24 years"|"Male"|"2018"|96|
"Devonport-Takapuna Local Board Area"|"Object to answering"|"20-24 years"|"Female"|"2018"|69|
"Henderson-Massey Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Male"|"2018"|2085|
"Henderson-Massey Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Female"|"2018"|2196|
"Henderson-Massey Local Board Area"|"No religion"|"20-24 years"|"Male"|"2018"|1950|
"Henderson-Massey Local Board Area"|"No religion"|"20-24 years"|"Female"|"2018"|1830|
"Henderson-Massey Local Board Area"|"Object to answering"|"20-24 years"|"Male"|"2018"|252|
"Henderson-Massey Local Board Area"|"Object to answering"|"20-24 years"|"Female"|"2018"|222|
"Waitakere Ranges Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Male"|"2018"|591|
"Waitakere Ranges Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Female"|"2018"|549|
"Waitakere Ranges Local Board Area"|"No religion"|"20-24 years"|"Male"|"2018"|915|
"Waitakere Ranges Local Board Area"|"No religion"|"20-24 years"|"Female"|"2018"|885|
"Waitakere Ranges Local Board Area"|"Object to answering"|"20-24 years"|"Male"|"2018"|93|
"Waitakere Ranges Local Board Area"|"Object to answering"|"20-24 years"|"Female"|"2018"|69|
"Great Barrier Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Male"|"2018"||c
"Great Barrier Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Female"|"2018"||c
"Great Barrier Local Board Area"|"No religion"|"20-24 years"|"Male"|"2018"|9|
"Great Barrier Local Board Area"|"No religion"|"20-24 years"|"Female"|"2018"|6|
"Great Barrier Local Board Area"|"Object to answering"|"20-24 years"|"Male"|"2018"||c
"Great Barrier Local Board Area"|"Object to answering"|"20-24 years"|"Female"|"2018"||c
"Waiheke Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Male"|"2018"|45|
"Waiheke Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Female"|"2018"|33|
"Waiheke Local Board Area"|"No religion"|"20-24 years"|"Male"|"2018"|141|
"Waiheke Local Board Area"|"No religion"|"20-24 years"|"Female"|"2018"|117|
"Waiheke Local Board Area"|"Object to answering"|"20-24 years"|"Male"|"2018"|9|
"Waiheke Local Board Area"|"Object to answering"|"20-24 years"|"Female"|"2018"|15|
"Waitemata Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Male"|"2018"|2121|
"Waitemata Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Female"|"2018"|2010|
"Waitemata Local Board Area"|"No religion"|"20-24 years"|"Male"|"2018"|3054|
"Waitemata Local Board Area"|"No religion"|"20-24 years"|"Female"|"2018"|3642|
"Waitemata Local Board Area"|"Object to answering"|"20-24 years"|"Male"|"2018"|222|
"Waitemata Local Board Area"|"Object to answering"|"20-24 years"|"Female"|"2018"|174|
"Whau Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Male"|"2018"|1824|
"Whau Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Female"|"2018"|1647|
"Whau Local Board Area"|"No religion"|"20-24 years"|"Male"|"2018"|1308|
"Whau Local Board Area"|"No religion"|"20-24 years"|"Female"|"2018"|1164|
"Whau Local Board Area"|"Object to answering"|"20-24 years"|"Male"|"2018"|180|
"Whau Local Board Area"|"Object to answering"|"20-24 years"|"Female"|"2018"|135|
"Puketapapa Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Male"|"2018"|1671|
"Puketapapa Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Female"|"2018"|1389|
"Puketapapa Local Board Area"|"No religion"|"20-24 years"|"Male"|"2018"|1110|
"Puketapapa Local Board Area"|"No religion"|"20-24 years"|"Female"|"2018"|1026|
"Puketapapa Local Board Area"|"Object to answering"|"20-24 years"|"Male"|"2018"|135|
"Puketapapa Local Board Area"|"Object to answering"|"20-24 years"|"Female"|"2018"|108|
"Orakei Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Male"|"2018"|1005|
"Orakei Local Board Area"|"Total people - with at least one religious affiliation"|"20-24 years"|"Female"|"2018"|987|
"Orakei Local Board Area"|"No religion"|"20-24 years"|"Male"|"2018"|1434|
"Orakei Local Board Area"|"No religion"|"20-24 years"|"Female"|"2018"|1494|
"Orakei Local Board Area"|"Object to answering"|"20-24 years"|"Male"|"2018"|138|
"Orakei Local Board Area"|"Object to answering"|"20-24 years"|"Female"|"2018"|126|
